,Type,Name,Status,Date,Site,Ticket
0,Hiring Challenge,Türkiye Sigorta Hiring Challenge #3,True,8 Haziran,Coderspace,False
1,Hackathon-Datathon,Bursa Akıllı Şehir Deprem Hackathonu,True,11 Haziran,Coderspace,False
2,Meet-up,Product Management Camp,True,13 Haziran,Coderspace,False
3,Bootcamp,Akbank & Microsoft AI Academy Data Analyst Eğitimi,False,15 Mart,Coderspace,False
4,Hackathon-Datathon,Shell Datathon 2023,False,16 Mayıs,Coderspace,False
5,Yetenek Programı,Softtech Yetenek Kuşağı,False,28 Mayıs,Coderspace,False
6,BT Müfettiş Yardımcısı Olarak Görev Yapmak Üzere Takım Arkadaşları Arıyoruz,BT Müfettiş Yardımcısı,False,18/05/2023,TCMB,False
7,Bilişim Uzman Yardımcısı Olarak Görev Yapmak Üzere Takım Arkadaşları Arıyoruz,Bilişim Uzman Yardımcısı,False,18/05/2023,TCMB,False
8,Türkiye Cumhuriyet Merkez Bankasına Çevirmen Alınacaktır,,False,18/05/2023,TCMB,False
